controller,time_s,setpoint_m,position_m,measured_position_m,velocity_m_s,error_m,beam_angle_deg,disturbance_m_s2
PID,8.34,-0.08,-0.06400561321235416,-0.06488164247565706,-0.06297545711543372,-0.015994386787645837,7.190065551126856,0.0
PID,8.35,-0.08,-0.0646042408892587,-0.06579430530450922,-0.05986276769045399,-0.0153957591107413,3.569187294181513,0.0
PID,8.36,-0.08,-0.06526297711459811,-0.06525676489930478,-0.06587362253394077,-0.014737022885401893,-6.904632017298919,0.0
PID,8.370000000000001,-0.08,-0.0660256691853464,-0.0624080065472291,-0.07626920707482875,-0.013974330814653602,-12.000000000000002,0.0
PID,8.38,-0.08,-0.06682265638098192,-0.06235089583437136,-0.0796987195635526,-0.013177343619018081,-3.9330198440752566,0.0
PID,8.39,-0.08,-0.06751568773120857,-0.06749453483106221,-0.06930313502266462,-0.012484312268791431,12.000000000000002,0.0
PID,8.4,-0.08,-0.06831267492684409,-0.06370556730307964,-0.0796987195635526,-0.01168732507315591,-12.000000000000002,0.0
PID,8.41,-0.08,-0.06900570627707074,-0.06824152197287484,-0.06930313502266462,-0.01099429372292926,12.000000000000002,0.0
PID,8.42,-0.08,-0.06980269347270626,-0.06549832422366858,-0.0796987195635526,-0.01019730652729374,-12.000000000000002,0.0
PID,8.43,-0.08,-0.07049572482293291,-0.06998929077201324,-0.06930313502266462,-0.00950427517706709,12.000000000000002,0.0
PID,8.44,-0.08,-0.07119325919490999,-0.07023360917084062,-0.06975343719770728,-0.008806740805090016,-0.5160152584351712,0.0
PID,8.45,-0.08,-0.07189595961185316,-0.07046231024962432,-0.07027004169431715,-0.008104040388146841,-0.5919956797783705,0.0
PID,8.46,-0.08,-0.0727026158742052,-0.06553825225311809,-0.08066562623520512,-0.007297384125794795,-12.000000000000002,0.0
PID,8.47,-0.08,-0.07340531629114838,-0.07100004472451563,-0.07027004169431715,-0.00659468370885162,12.000000000000002,0.0
PID,8.48,-0.08,-0.07400406086268267,-0.07481984535105131,-0.059874457153429185,-0.00599593913731733,12.000000000000002,0.0
PID,8.49,-0.08,-0.07470676127962585,-0.07206606512213096,-0.07027004169431715,-0.005293238720374155,-12.000000000000002,0.0
PID,8.5,-0.08,-0.07530550585116014,-0.07543042635379453,-0.059874457153429185,-0.0046944941488398645,12.000000000000002,0.0
PID,8.51,-0.08,-0.07586223062620938,-0.07628500621696256,-0.05567247750492468,-0.004137769373790623,4.820799992366121,0.0
PID,8.52,-0.08,-0.0765229112466675,-0.07404502790642516,-0.06606806204581266,-0.003477088753332497,-12.000000000000002,0.0
PID,8.53,-0.08,-0.07707963602171675,-0.0764607400711252,-0.05567247750492469,-0.0029203639782832552,12.000000000000002,0.0
PID,8.540000000000001,-0.08,-0.07764352062932418,-0.07652248419269314,-0.0563884607607438,-0.002356479370675818,-0.8204844172777775,0.0
PID,8.55,-0.08,-0.07814871481111386,-0.0776155501855936,-0.05051941817896767,-0.001851285188886137,6.740968063459861,0.0
PID,8.56,-0.08,-0.0786723433921729,-0.07747554855790299,-0.052362858105902556,-0.0013276566078271046,-2.1129054181199076,0.0
PID,8.57,-0.08,-0.0791834988287112,-0.07782241159730059,-0.05111554365383096,-0.0008165011712887998,1.4294653662515016,0.0
PID,8.58,-0.08,-0.07959069841984064,-0.08305743269412204,-0.040719959112942995,-0.0004093015801593658,12.000000000000002,0.0
PID,8.59,-0.08,-0.08010185385637894,-0.07825755308262157,-0.05111554365383096,0.00010185385637893896,-12.000000000000002,0.0
PID,8.6,-0.08,-0.08050905344750837,-0.08206589269603955,-0.040719959112942995,0.000509053447508373,12.000000000000002,0.0
PID,8.61,-0.08,-0.08083502933172293,-0.0833936517186272,-0.032597588421455284,0.0008350293317229279,9.348981519196107,0.0
PID,8.620000000000001,-0.08,-0.08126496106134636,-0.0809518518194403,-0.04299317296234325,0.0012649610613463536,-12.000000000000002,0.0
PID,8.63,-0.08,-0.08169043460923314,-0.08109699905471744,-0.04254735478867845,0.0016904346092331407,0.5108767650250127,0.0
PID,8.64,-0.08,-0.08201195231171104,-0.08307744693837771,-0.032151770247790486,0.0020119523117110433,12.000000000000002,0.0
PID,8.65,-0.08,-0.08243742585959783,-0.0803498885963751,-0.04254735478867845,0.0024374258595978304,-12.000000000000002,0.0
PID,8.66,-0.08,-0.08275894356207573,-0.08512177619233964,-0.032151770247790486,0.002758943562075733,12.000000000000002,0.0
